id,difficulty,uniqueness,goal words,valid words,total words, cells, hint
41,475.0,0.5363636363636364,7,33,62,16,directions: E W N S  -- OMG,these are: nouns -- 
42,476.0,0.5304083405734145,6,33,57,16,inside -- OMG,these are: nouns -- 
43,476.0,0.5363636363636364,7,33,64,27,directions: E W N S  -- OMG,these are: nouns -- 
44,476.5,0.5363636363636364,6,33,66,24,directions: E W N S  -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
45,476.5,0.0,9,68,68,21,directions: E W N S  -- 
46,476.5,0.6491688538932633,6,18,81,32,directions: E W N S  -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
47,477.0,0.5475,5,34,67,27,directions: E W N S  -- OMG,these are: nouns -- 
48,477.0,0.5257995735607676,6,35,65,80,directions: E W N S  -- These words are all: nouns. -- 
49,477.5,0.0,6,46,47,8,inside -- Words with at least 4 letters. -- 
50,478.5,0.6503957783641161,5,17,91,63,directions: E W  -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
51,478.5,0.6491688538932633,6,16,87,48,directions: E W N S  -- These words are all: verbs. -- 
52,480.0,0.6491688538932633,5,13,94,24,directions: E W N S  -- OMG,these are: verbs -- 
53,480.0,0.6503957783641161,6,18,80,8,inside -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
54,481.0,0.0,9,49,60,49,directions: E W  -- Words with at least 5 letters. -- 
55,481.5,0.5465930071930868,7,26,46,81,directions: E W  -- Your words my be not longer than dis many fingers: 3. -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
56,481.5,0.0,5,55,55,12,inside+wrap -- 
57,483.0,0.0012953367875647669,6,39,73,24,directions: E W N S  -- Your words my be not longer than dis many fingers: 3. -- 
58,483.5,0.5363636363636364,6,23,50,24,directions: E W N S  -- Your words my be not longer than dis many fingers: 4. -- These words are all: nouns. -- 
59,483.5,0.0,7,38,78,63,directions: E W  -- Words with at least 3 letters. -- 
60,484.0,0.0,10,75,75,24,directions: E W N S  -- 
61,485.0,0.545297670405522,8,36,78,16,directions: E W N S  -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
62,485.5,0.0,7,55,65,56,directions: E W  -- Your words my be not longer than dis many fingers: 5. -- 
63,486.0,0.0,8,78,78,36,directions: E W N S  -- 
64,486.0,0.6432246998284734,5,13,98,16,inside -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
65,486.0,0.0,6,50,60,9,inside -- At least 4 of da letters. -- 
66,486.5,0.5304083405734145,8,46,71,84,directions: E W N S  -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
67,487.0,0.0,10,78,78,28,directions: E W N S  -- 
68,487.0,0.0,8,79,79,80,directions: E W N S  -- 
69,487.5,0.5257995735607676,8,39,80,28,directions: E W N S  -- OMG,these are: nouns -- 
70,488.0,0.6432246998284734,5,15,100,16,inside -- OMG,these are: verbs -- 
71,488.0,0.0,8,80,80,36,directions: E W N S  -- 
72,488.5,0.6455160744500846,6,18,105,42,directions: E W N S  -- OMG,these are: verbs -- 
73,489.0,0.0,10,80,80,21,directions: E W N S  -- 
74,489.0,0.6491688538932633,6,17,107,49,directions: E W N S  -- OMG,these are: verbs -- 
75,489.5,0.6455160744500846,8,20,103,24,directions: E W N S  -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
76,490.0,0.545297670405522,8,42,82,24,directions: E W N S  -- These words are all: nouns. -- 
77,490.5,0.0,7,83,83,27,directions: E W N S  -- 
78,491.0,0.5363636363636364,5,25,64,18,inside+wrap -- These words are all: nouns. -- 
79,491.0,0.6491688538932633,7,19,108,24,directions: E W N S  -- OMG,these are: verbs -- 
80,491.0,0.9607057416267943,6,26,62,42,directions: E W N S  -- The first part of the word is important. Is one of : consonants -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
81,491.5,0.0,9,83,83,28,directions: E W N S  -- 
82,491.5,0.6503957783641161,5,16,114,42,directions: E W N S  -- OMG,these are: verbs -- 
83,491.5,0.0,9,62,64,42,directions: E W N S  -- At least 5 of da letters. -- 
84,492.0,0.0,14,81,81,42,directions: E W N S  -- 
85,492.0,0.0,12,82,82,24,directions: E W N S  -- 
86,493.0,0.0,9,64,65,28,directions: E W N S  -- Your words my be not longer than dis many fingers: 5. -- 
87,493.0,0.0,8,65,65,12,inside+wrap -- 
88,493.5,0.0,9,65,65,12,inside+wrap -- 
89,493.5,0.0,7,46,86,16,directions: E W N S  -- Your words my be not longer than dis many fingers: 3. -- 
90,494.0,0.5475,7,34,91,18,inside -- These words are all: nouns. -- 
91,495.0,0.0,8,87,87,78,directions: E W N S  -- 
92,495.0,0.6304159445407279,8,24,110,24,directions: E W N S  -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
93,495.0,0.0,10,86,86,48,directions: E W N S  -- 
94,495.5,0.0012953367875647669,6,51,86,24,directions: E W N S  -- Words with at least 3 letters. -- 
95,496.0,0.0,8,84,84,18,inside -- 
96,496.5,0.44014084507042256,6,37,62,12,inside+wrap -- These words seem to start with... consonants. -- 
97,497.0,0.49458483754512633,5,41,92,14,inside -- Ends with a letter from wedding -- 
98,497.0,1.0788547173853877,5,24,77,36,directions: E W N S  -- Ends with a letter from wedding -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
99,497.0,0.0,8,85,85,16,inside -- 
100,497.5,0.6432246998284734,11,28,108,36,directions: E W N S  -- OMG,these are: verbs -- 
101,498.5,0.5257995735607676,10,43,96,80,directions: E W N S  -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
102,500.0,0.0,7,66,71,16,inside -- At least 4 of da letters. -- 
103,500.5,0.5257995735607676,6,36,71,70,directions: E W N S  -- Words with at least 4 letters. -- These words are all: nouns. -- 
104,500.5,0.0,10,71,72,24,directions: E W N S  -- Your words my be not longer than dis many fingers: 5. -- 
105,500.5,0.44014084507042256,6,45,62,16,inside+wrap -- The first part of the word is important. Is one of : consonants -- 
106,501.5,0.44014084507042256,5,28,82,32,directions: E W N S  -- Words with at least 3 letters. -- The first part of the word is important. Is one of : consonants -- 
107,501.5,0.6304159445407279,5,14,96,18,inside+wrap -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
108,502.0,0.6304159445407279,10,29,117,48,directions: E W N S  -- These words are all: verbs. -- 
109,502.0,0.6491688538932633,5,17,126,14,inside -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
110,502.5,0.6455160744500846,6,16,87,18,inside -- At least 5 of da letters. -- These words are all: verbs. -- 
111,503.0,0.0,10,90,90,16,inside -- 
112,503.0,0.5475,10,51,97,48,directions: E W N S  -- OMG,these are: nouns -- 
113,503.0,0.545297670405522,6,35,77,12,inside+wrap -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
114,505.0,1.0313469139556095,7,26,81,14,inside -- These words seem to end with the letters... consonants. -- OMG,these are: nouns -- 
115,506.0,0.6432246998284734,11,30,123,36,directions: E W N S  -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
116,506.0,0.5304083405734145,10,57,97,78,directions: E W N S  -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
117,506.5,0.5465930071930868,6,31,88,32,directions: E W N S  -- Your words my be not longer than dis many fingers: 3. -- OMG,these are: nouns -- 
118,506.5,0.6304159445407279,6,18,101,16,inside+wrap -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
119,507.0,0.24705882352941178,6,43,117,48,directions: E W N S  -- Maka dem all the same siza: 4 -- 
120,507.5,0.9909498443185655,8,36,83,77,directions: E W N S  -- In the beginning was one of these letters: consonants -- OMG,these are: nouns -- 
121,508.0,0.0,12,78,78,12,inside+wrap -- 
122,508.0,0.0,8,100,100,48,directions: E W N S  -- 
123,508.0,0.0,8,100,100,42,directions: E W N S  -- 
124,508.5,0.0,9,70,82,14,inside -- Your words my be not longer than dis many fingers: 4. -- 
125,509.0,0.5017421602787456,10,64,96,80,directions: E W N S  -- In the beginning was one of these letters: consonants -- 
126,509.0,0.545297670405522,13,63,94,84,directions: E W N S  -- OMG,these are: nouns -- 
127,509.5,0.6432246998284734,6,17,108,16,inside+wrap -- These words are all: verbs. -- 
128,509.5,0.6432246998284734,10,27,134,77,directions: E W N S  -- OMG,these are: verbs -- 
129,509.5,0.19148936170212766,5,41,85,78,directions: E W N S  -- Words with at least 4 letters. -- What's in dem words. Is it: e. Yeah it is. -- 
130,510.0,0.0,10,81,81,8,inside+wrap -- 
131,510.5,0.0012953367875647669,6,41,86,8,inside+wrap -- Words with at least 3 letters. -- 
132,511.0,0.5257995735607676,6,35,85,9,inside -- At least 4 of da letters. -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
133,511.0,0.0,8,103,103,42,directions: E W N S  -- 
134,512.0,0.6491688538932633,11,32,133,36,directions: E W N S  -- OMG,these are: verbs -- 
135,512.5,0.0,11,83,83,12,inside+wrap -- 
136,512.5,0.6491688538932633,14,38,125,28,directions: E W N S  -- These words are all: verbs. -- 
137,512.5,0.0,10,73,86,18,inside -- Your words my be not longer than dis many fingers: 4. -- 
138,513.0,0.0,5,66,67,9,inside+wrap -- Your words my be not longer than dis many fingers: 5. -- 
139,513.0,0.4742268041237113,6,44,88,14,inside+wrap -- These words seem to end with the letters... consonants. -- 
140,513.5,0.4634920634920635,7,55,109,18,inside -- These words seem to end with the letters... wedding. -- 
141,514.0,0.0,8,106,106,60,directions: E W N S  -- 
142,514.5,0.5394736842105263,6,45,130,42,directions: E W N S  -- The first part of the word is important. Is one of : lisa -- 
143,514.5,0.0,11,101,101,16,inside -- 
144,514.5,0.6304159445407279,10,28,143,42,directions: E W N S  -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
145,515.0,0.545297670405522,10,56,116,36,directions: E W N S  -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
146,515.5,0.0,10,61,72,12,inside+wrap -- Words with at least 4 letters. -- 
147,515.5,0.0,9,103,103,16,inside -- 
148,516.0,0.27524038461538464,6,44,134,56,directions: E W N S  -- From 4-5 letters. -- 
149,516.0,0.4631578947368421,9,68,107,48,directions: E W N S  -- OMG, ends with a letter from: consonants -- 
150,517.0,0.0,12,87,87,16,inside+wrap -- 
151,517.0,0.0,12,107,107,27,directions: E W N S  -- 
152,517.5,0.0,15,106,106,60,directions: E W N S  -- 
153,517.5,0.7882720333102012,7,23,77,12,inside+wrap -- 4-5 letters. -- OMG,these are: nouns -- 
154,518.0,0.5465930071930868,6,33,109,36,directions: E W N S  -- At least 3 of da letters. -- OMG,these are: nouns -- 
155,518.0,0.545297670405522,12,60,108,14,inside -- OMG,these are: nouns -- 
156,518.5,0.5475,6,39,104,80,directions: E W N S  -- Words with at least 5 letters. -- OMG,these are: nouns -- 
157,518.5,0.0,8,83,98,27,directions: E W N S  -- At least 4 of da letters. -- 
158,519.0,0.0,16,107,107,36,directions: E W N S  -- 
159,520.0,0.6304159445407279,12,32,148,49,directions: E W N S  -- These words are all: verbs. -- 
160,520.0,1.0948210278063066,8,21,115,18,inside -- The first part of the word is important. Is one of : consonants -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
161,520.5,0.5283868956823717,6,32,115,36,directions: E W N S  -- Words with at least 3 letters. -- OMG,these are: nouns -- 
162,521.5,0.4742268041237113,8,78,109,42,directions: E W N S  -- Ends with a letter from consonants -- 
163,521.5,0.5257995735607676,8,59,120,16,inside -- These words are all: nouns. -- 
164,522.0,0.27524038461538464,6,48,142,48,directions: E W N S  -- 4-5 letters. -- 
165,523.0,0.0,10,60,120,12,inside -- At least 3 of da letters. -- 
166,523.5,1.2019972018516607,5,14,132,18,inside -- The first part of the word is important. Is one of : wedding -- OMG,these are: verbs -- 
167,524.0,0.0,11,89,92,16,inside -- Words with at least 5 letters. -- 
168,524.0,0.6503957783641161,5,15,132,9,inside -- Words with at least 4 letters. -- OMG,these are: verbs -- 
169,524.5,0.0012953367875647669,6,56,99,14,inside+wrap -- At least 3 of da letters. -- 
170,525.0,0.8067084587872648,5,24,133,48,directions: E W N S  -- Exactamundo 4 -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
171,525.0,0.0,14,114,114,78,directions: E W N S  -- 
172,525.0,0.0,12,111,111,12,inside -- 
173,525.5,0.0,13,86,96,16,inside -- Your words my be not longer than dis many fingers: 4. -- 
174,525.5,0.0,6,55,102,14,inside+wrap -- Words with at least 3 letters. -- 
175,525.5,0.0,12,89,102,36,directions: E W N S  -- Your words my be not longer than dis many fingers: 4. -- 
176,526.0,0.6432246998284734,5,14,145,36,directions: E W N S  -- Your words my be not longer than dis many fingers: 3. -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
177,526.5,0.0,15,111,111,9,inside -- 
178,527.0,0.0,9,90,107,32,directions: E W N S  -- Your words my be not longer than dis many fingers: 4. -- 
179,527.0,0.5257995735607676,8,66,132,42,directions: E W N S  -- These words are all: nouns. -- 
180,527.5,0.6304159445407279,7,19,181,56,directions: E W N S  -- These words are all: verbs. -- 
181,528.0,1.0734515570934255,6,34,128,36,directions: E W N S  -- OMG, ends with a letter from: minos -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
182,528.0,0.0,12,118,118,70,directions: E W N S  -- 
183,528.0,0.0,12,118,118,36,directions: E W N S  -- 
184,529.0,0.6503957783641161,11,31,168,36,directions: E W N S  -- These words are all: verbs. -- 
185,529.5,0.0,9,121,121,80,directions: E W N S  -- 
186,530.0,0.4631578947368421,6,44,122,36,directions: E W N S  -- At least 3 of da letters. -- OMG, ends with a letter from: consonants -- 
187,530.5,0.0,5,62,138,18,inside -- Words with at least 3 letters. -- 
188,530.5,0.5257995735607676,12,52,109,32,directions: E W N S  -- Your words my be not longer than dis many fingers: 4. -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
189,531.0,0.0,14,94,98,14,inside -- Words with at least 5 letters. -- 
190,531.5,0.4925373134328358,7,42,166,64,directions: E W N S  -- OMG, ends with a letter from: minos -- 
191,531.5,0.24474660074165636,6,58,151,78,directions: E W N S  -- 4-5 letters. -- 
192,532.5,1.1701062383845109,6,16,147,16,inside -- OMG, ends with a letter from: lisa -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
193,533.0,0.5065359477124183,6,51,121,49,directions: E W N S  -- Your words my be not longer than dis many fingers: 4. -- These words seem to end with the letters... wedding. -- 
194,533.0,0.6455160744500846,9,25,184,78,directions: E W N S  -- These words are all: verbs. -- 
195,534.0,0.0,14,123,123,80,directions: E W N S  -- 
196,535.5,0.0,9,123,123,24,inside -- 
197,536.0,0.6455160744500846,6,17,121,14,inside+wrap -- Your words my be not longer than dis many fingers: 4. -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
198,536.5,0.5465930071930868,6,45,134,49,directions: E W N S  -- Your words my be not longer than dis many fingers: 3. -- These words are all: nouns. -- 
199,537.5,0.0,10,84,133,49,directions: E W N S  -- Words with at least 3 letters. -- 
200,537.5,0.6503957783641161,7,20,160,48,directions: E W N S  -- Your words my be not longer than dis many fingers: 5. -- OMG,these are: verbs -- 
201,537.5,0.44014084507042256,13,86,120,18,inside -- In the beginning was one of these letters: consonants -- 
202,537.5,0.0,11,128,128,78,directions: E W N S  -- 
203,538.5,0.6304159445407279,7,20,154,9,inside -- At least 3 of da letters. -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
204,538.5,0.6432246998284734,13,38,170,18,inside -- These words are all: verbs. -- 
205,539.0,0.6304159445407279,8,21,161,49,directions: E W N S  -- Your words my be not longer than dis many fingers: 3. -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
206,539.0,0.2397094430992736,5,65,152,21,inside -- 4-5 many letters, so little time. -- 
207,539.5,0.5257995735607676,12,53,126,9,inside+wrap -- These words are all: nouns. -- 
208,540.5,0.6432246998284734,13,36,184,36,directions: E W N S  -- These words are all: verbs. -- 
209,540.5,0.6491688538932633,10,27,196,63,directions: E W N S  -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
210,541.0,0.7872094430992735,5,29,152,18,inside -- 4-5 many letters, so little time. -- These words are all: nouns. -- 
211,542.5,0.6455160744500846,13,40,144,36,directions: E W N S  -- At least 5 of da letters. -- OMG,these are: verbs -- 
212,542.5,0.0,10,107,120,80,directions: E W N S  -- Words with at least 4 letters. -- 
213,542.5,0.545297670405522,8,67,122,18,inside+wrap -- These words are all: nouns. -- 
214,543.0,0.4631578947368421,13,84,141,78,directions: E W N S  -- These words seem to end with the letters... consonants. -- 
215,543.5,0.0,17,127,127,14,inside -- 
216,543.5,0.5304083405734145,17,71,143,16,inside -- These words are all: nouns. -- 
217,543.5,0.6455160744500846,10,28,201,64,directions: E W N S  -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
218,544.0,0.5475,11,70,151,28,inside -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
219,544.0,0.0,12,114,114,18,inside+wrap -- 
220,544.5,0.545297670405522,15,75,151,60,directions: E W N S  -- OMG,these are: nouns -- 
221,545.5,0.0,12,109,122,48,directions: E W N S  -- Your words my be not longer than dis many fingers: 4. -- 
222,545.5,1.1369518922531463,5,14,176,27,inside -- Ends with a letter from wedding -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
223,545.5,0.0,11,116,116,18,inside+wrap -- 
224,546.5,0.6455160744500846,5,13,187,16,inside+wrap -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
225,546.5,0.6432246998284734,10,28,199,42,inside -- These words are all: verbs. -- 
226,547.0,0.7872094430992735,6,28,172,63,directions: E W N S  -- 4-5 many letters, so little time. -- OMG,these are: nouns -- 
227,548.0,0.0,9,90,109,18,inside+wrap -- Words with at least 4 letters. -- 
228,548.0,0.6304159445407279,5,13,182,18,inside -- Words with at least 3 letters. -- OMG,these are: verbs -- 
229,548.5,0.7189734048653676,6,43,152,18,inside -- 4-5 letters. -- These words seem to end with the letters... consonants. -- 
230,549.5,0.9876408450704226,13,54,144,42,directions: E W N S  -- In the beginning was one of these letters: consonants -- These words are all: nouns. -- 
231,549.5,0.9105796422750061,5,14,192,54,directions: E W N S  -- Exactamundo 4 -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
232,550.0,0.545297670405522,11,81,160,48,directions: E W N S  -- OMG,these are: nouns -- 
233,550.0,0.6491688538932633,12,32,168,9,inside+wrap -- OMG,these are: verbs -- 
234,550.5,0.0,13,120,120,12,inside+wrap -- 
235,550.5,0.5227272727272727,8,67,178,56,directions: E W N S  -- OMG, ends with a letter from: mike -- 
236,550.5,0.6432246998284734,10,30,205,70,inside -- OMG,these are: verbs -- 
237,550.5,0.5017421602787456,13,94,106,16,inside+wrap -- In the beginning was one of these letters: consonants -- 
238,551.5,0.0,13,120,122,48,directions: E W N S  -- Words with at least 5 letters. -- 
239,552.0,0.5304083405734145,13,78,165,56,directions: E W N S  -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
240,552.5,0.545297670405522,7,50,120,18,inside+wrap -- Your words my be not longer than dis many fingers: 4. -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
241,552.5,0.24705882352941178,6,56,195,36,directions: E W N S  -- Maka dem all the same siza: 4 -- 
242,553.0,0.6432246998284734,5,14,191,21,inside -- Your words my be not longer than dis many fingers: 3. -- OMG,these are: verbs -- 
243,553.0,0.5475,20,83,155,42,directions: E W N S  -- These words are all: nouns. -- 
244,554.5,0.0,14,117,122,14,inside -- Words with at least 5 letters. -- 
245,555.0,0.0,12,91,159,54,directions: E W N S  -- Words with at least 3 letters. -- 
246,555.0,0.8701253876400015,6,16,200,63,directions: E W N S  -- 4-5 many letters, so little time. -- OMG,these are: verbs -- 
247,555.5,0.4243421052631579,10,109,144,36,directions: E W N S  -- The first part of the word is important. Is one of : consonants -- 
248,556.0,0.5555555555555556,6,69,189,42,directions: E W N S  -- OMG, ends with a letter from: vowels -- 
249,556.5,0.5475,11,50,124,9,inside+wrap -- Words with at least 5 letters. -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
250,556.5,0.6432246998284734,10,27,228,63,directions: E W N S  -- These words are all: verbs. -- 
251,557.0,0.5475,14,80,172,48,directions: E W N S  -- OMG,these are: nouns -- 
252,557.0,0.0,16,125,125,18,inside+wrap -- 
253,557.0,0.6503957783641161,11,32,223,56,directions: E W N S  -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
254,557.5,0.2397094430992736,7,70,190,56,directions: E W N S  -- From 4-5 letters. -- 
255,557.5,0.0,15,142,142,12,inside -- 
256,558.0,0.6491688538932633,7,21,192,18,inside -- At least 5 of da letters. -- OMG,these are: verbs -- 
257,558.5,0.49836065573770494,14,94,153,24,inside -- OMG, ends with a letter from: consonants -- 
258,558.5,0.6455160744500846,14,39,216,63,directions: E W N S  -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
259,558.5,0.0,10,94,165,63,directions: E W N S  -- Words with at least 3 letters. -- 
260,558.5,0.0,15,143,143,16,inside -- 
261,559.0,1.1369518922531463,7,19,204,64,directions: E W N S  -- OMG, ends with a letter from: wedding -- These words are all: verbs. -- 
262,559.5,0.47635135135135137,6,48,177,32,directions: E W N S  -- Your words my be not longer than dis many fingers: 5. -- In the beginning was one of these letters: vowels -- 
263,560.0,0.0,10,92,170,48,directions: E W N S  -- At least 3 of da letters. -- 
264,560.0,0.5268817204301075,6,66,160,16,inside+wrap -- These words seem to start with... potato. -- 
265,560.5,0.8772672530199628,8,23,162,18,inside+wrap -- All these words have something in common. I think e. sry typo -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
266,560.5,0.0,10,90,173,54,directions: E W N S  -- At least 3 of da letters. -- 
267,560.5,0.5475,15,74,176,18,inside -- These words are all: nouns. -- 
268,561.0,0.0,12,107,115,18,inside+wrap -- Your words my be not longer than dis many fingers: 5. -- 
269,561.5,0.6304159445407279,15,41,211,24,inside -- These words are all: verbs. -- 
270,561.5,1.118509870931135,11,30,194,72,directions: E W N S  -- In the beginning was one of these letters: consonants -- These words are all: verbs. -- 
271,561.5,0.0,15,130,130,14,inside+wrap -- 
272,562.5,0.4772727272727273,6,79,152,54,directions: E W N S  -- Your words my be not longer than dis many fingers: 5. -- Ends with a letter from vowels -- 
273,564.0,0.5785714285714286,6,60,214,54,directions: E W N S  -- The first part of the word is important. Is one of : lisa -- 
274,564.0,0.0,8,75,189,18,inside -- Words with at least 3 letters. -- 
275,564.0,0.0,20,146,146,14,inside -- 
276,564.0,0.8701253876400015,5,13,222,72,directions: E W N S  -- 4-5 many letters, so little time. -- These words are all: verbs. -- 
277,564.5,0.5384615384615384,6,53,182,54,directions: E W N S  -- Your words my be not longer than dis many fingers: 5. -- Words need to represent with : e and r. -- 
278,565.0,0.6432246998284734,7,20,215,63,directions: E W N S  -- Words with at least 3 letters. -- These words are all: verbs. -- 
279,566.0,0.5143884892086331,9,79,156,14,inside+wrap -- Ends with a letter from consonants -- 
280,566.5,0.0,17,154,154,48,directions: E W N S  -- 
281,566.5,0.6529831004857203,9,24,204,21,inside -- Your words my be not longer than dis many fingers: 3. -- These words are all: verbs. -- 
282,566.5,0.7728583970901793,6,34,205,63,directions: E W N S  -- Maka dem all the same siza: 4 -- These words are all: nouns. -- 
283,567.0,0.0,18,154,154,56,directions: E W N S  -- 
284,567.0,0.6432246998284734,12,35,239,56,directions: E W N S  -- OMG,these are: verbs -- 
285,567.0,0.0,14,136,136,16,inside+wrap -- 
286,568.5,0.5363636363636364,12,64,133,18,inside+wrap -- Your words my be not longer than dis many fingers: 5. -- OMG,these are: nouns -- 
287,569.0,0.0,18,152,152,21,inside -- 
288,569.0,0.6304159445407279,14,37,239,42,directions: E W N S  -- OMG,these are: verbs -- 
289,569.5,0.7836898395721925,10,41,192,16,inside -- No more no less than the best which is 4. -- These words are all: nouns. -- 
290,569.5,0.49146757679180886,6,73,172,48,directions: E W N S  -- Words with at least 5 letters. -- OMG, ends with a letter from: vowels -- 
291,570.0,0.0,14,139,139,12,inside+wrap -- 
292,570.5,0.0,13,140,140,16,inside+wrap -- 
293,571.0,1.0734515570934255,6,35,205,12,inside -- OMG, ends with a letter from: minos -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
294,571.5,0.0,19,154,154,16,inside -- 
295,571.5,0.8701253876400015,5,13,237,81,directions: E W N S  -- 4-5 many letters, so little time. -- OMG,these are: verbs -- 
296,572.0,0.4413793103448276,6,92,198,49,directions: E W N S  -- In the beginning was one of these letters: wedding -- 
297,572.5,0.6304159445407279,15,41,241,63,directions: E W N S  -- OMG,these are: verbs -- 
298,572.5,1.0313469139556095,16,56,145,36,directions: E W N S  -- Words with at least 5 letters. -- Ends with a letter from consonants -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
299,573.0,0.5304083405734145,14,67,177,72,directions: E W N S  -- Words with at least 3 letters. -- OMG,these are: nouns -- 
300,574.5,0.0,21,160,160,42,directions: E W N S  -- 
301,575.0,0.5475,12,72,138,18,inside+wrap -- Words with at least 5 letters. -- OMG,these are: nouns -- 
