id, difficulty,uniqueness,rules,goal words,valid words,total words, cells, hint
28,887.5,0.6909642584097859,2,42,238,1367,48,inside+wrap -- 4-5 letters. -- In the beginning was one of these letters: potato -- 
29,885.0,0.19072164948453607,1,86,367,1229,48,inside+wrap -- Exactamundo 4 -- 
30,881.5,1.4224140583930311,3,25,45,1525,64,inside+wrap -- Maka dem all the same siza: 5 -- The first part of the word is important. Is one of : consonants -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
31,879.5,1.1067125320722444,3,44,69,1478,56,inside+wrap -- Your words my be not longer than dis many fingers: 4. -- These words seem to end with the letters... mike. -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
32,878.5,1.2724560098953672,3,6,26,1557,56,inside+wrap -- Maka dem all the same siza: 4 -- These words seem to start with... vowels. -- OMG,these are: nouns -- 
33,868.0,0.5104895104895105,1,67,320,1261,56,inside+wrap -- Ends with a letter from mike -- 
34,856.5,0.5962230215827338,1,126,216,1283,49,inside+wrap -- OMG,these are: verbs -- 
35,851.5,0.4921875,1,52,297,1266,56,inside+wrap -- These words seem to start with... potato. -- 
36,850.5,0.6907216494845361,2,31,148,1394,56,inside+wrap -- No more no less than the best which is 4. -- These words seem to end with the letters... potato. -- 
37,845.0,0.5196428571428572,2,109,255,1198,36,inside+wrap -- It may seem like this hint isn't useful. But i promise at least 4 times it is. -- OMG,these are: nouns -- 
38,845.0,1.0118303571428573,2,61,141,1360,64,inside+wrap -- These words seem to start with... potato. -- OMG,these are: nouns -- 
39,841.0,0.5655737704918032,1,48,335,1211,56,inside+wrap -- Ends with a letter from lisa -- 
40,836.5,0.5,2,27,137,1381,48,inside+wrap -- It may seem like this hint isn't useful. But i promise at least 4 times it is. -- OMG, ends with a letter from: minos -- 
41,827.0,1.1118243606419917,3,65,143,1278,56,inside+wrap -- No more no less than the best which is 4. -- The first part of the word is important. Is one of : consonants -- These words are all: nouns. -- 
42,824.5,0.5962230215827338,1,157,265,1171,56,inside -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
43,819.5,1.1676515930113052,2,63,110,1338,49,inside+wrap -- All these words have something in common. I think e and t. sry typo -- OMG,these are: verbs -- 
44,794.0,0.49333333333333335,2,47,216,1197,64,inside+wrap -- You don't need a sweater but you do need words with at least 5 letters. -- In the beginning was one of these letters: lisa -- 
45,790.0,0.19877675840978593,1,113,483,896,49,inside+wrap -- 4-5 letters. -- 
46,773.5,0.5,1,62,267,1130,49,inside+wrap -- OMG, ends with a letter from: potato -- 
47,772.5,0.19072164948453607,1,99,362,1028,64,inside -- No more no less than the best which is 4. -- 
48,772.5,1.0689386317907446,2,47,125,1245,49,inside+wrap -- These words seem to start with... wedding. -- These words are all: nouns. -- 
49,767.0,1.192103826078959,3,11,29,1326,48,inside+wrap -- 4-5 many letters, so little time. -- Words need to represent with : i and t. -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
50,765.5,0.2413793103448276,2,38,154,1211,36,inside+wrap -- It may seem like this hint isn't useful. But i promise at least 4 times it is. -- Words need to represent with : e. -- 
51,764.5,1.2208540171169038,3,15,36,1310,56,inside+wrap -- Maka dem all the same siza: 4 -- In the beginning was one of these letters: minos -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
52,762.0,1.1501798561151078,2,31,55,1310,48,inside+wrap -- Ends with a letter from frog -- These words are all: verbs. -- 
53,756.5,0.5962230215827338,2,29,47,1309,42,inside+wrap -- It may seem like this hint isn't useful. But i promise at least 3 times it is. -- These words are all: verbs. -- 
54,754.5,1.2628896882494005,2,13,23,1345,48,inside+wrap -- These words seem to start with... mike. -- These words are all: verbs. -- 
55,754.0,0.5196428571428572,2,139,341,900,42,inside+wrap -- It may seem like this hint isn't useful. But i promise at least 5 times it is. -- These words are all: nouns. -- 
56,753.5,0.5962230215827338,2,39,61,1279,49,inside+wrap -- You don't need a sweater but you do need words with at least 3 letters. -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
57,752.0,1.1676515930113052,2,17,28,1331,48,inside+wrap -- All these words have something in common. I think r and t. sry typo -- These words are all: verbs. -- 
58,745.0,1.0831349206349206,2,42,119,1201,36,inside+wrap -- These words seem to start with... frog. -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
59,745.0,0.9395174991505266,2,12,40,1310,56,inside+wrap -- 4-5 many letters, so little time. -- Words need to represent with : e and ee. -- 
60,743.5,0.5,2,45,200,1114,49,inside+wrap -- Your words my be not longer than dis many fingers: 5. -- OMG, ends with a letter from: minos -- 
61,743.0,0.0,1,114,429,855,49,inside+wrap -- It may seem like this hint isn't useful. But i promise at least 4 times it is. -- 
62,740.0,0.0,1,135,565,692,42,inside+wrap -- It may seem like this hint isn't useful. But i promise at least 5 times it is. -- 
63,740.0,0.7012111599740466,2,26,97,1229,48,inside+wrap -- No more no less than the best which is 4. -- The first part of the word is important. Is one of : minos -- 
64,739.0,1.4195166683342997,4,27,55,1188,49,inside+wrap -- Exactamundo 4 -- What's in dem words. Is it: t. Yeah it is. -- The first part of the word is important. Is one of : consonants -- These words are all: nouns. -- 
65,738.0,1.081918081918082,3,9,47,1252,64,inside+wrap -- You don't need a sweater but you do need words with at least 5 letters. -- All these words have something in common. I think e and t. sry typo -- OMG, ends with a letter from: mike -- 
66,737.0,1.1583145248507076,2,16,26,1304,56,inside+wrap -- The first part of the word is important. Is one of : vowels -- OMG,these are: verbs -- 
67,736.5,0.5962230215827338,1,123,206,1056,48,inside+wrap -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
68,733.0,0.42473118279569894,1,46,226,1106,48,inside+wrap -- Maka dem all the same siza: 5 -- 
69,733.0,0.5196428571428572,1,139,359,880,48,inside+wrap -- These words are all: nouns. -- 
70,731.0,0.5104895104895105,1,51,236,1087,42,inside+wrap -- OMG, ends with a letter from: mike -- 
71,729.5,0.5196428571428572,2,102,250,979,42,inside+wrap -- It may seem like this hint isn't useful. But i promise at least 4 times it is. -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
72,727.5,1.1863095238095238,2,11,25,1291,42,inside+wrap -- The first part of the word is important. Is one of : mike -- These words are all: nouns. -- 
73,726.5,0.8376023319275614,2,72,130,1123,56,inside+wrap -- What's in dem words. Is it: e. Yeah it is. -- These words are all: verbs. -- 
74,726.0,0.8134920634920635,2,13,63,1248,64,inside+wrap -- All these words have something in common. I think i. sry typo -- The first part of the word is important. Is one of : frog -- 
75,724.0,1.288333113325853,3,27,47,1238,64,inside -- 4-5 letters. -- In the beginning was one of these letters: lisa -- These words are all: verbs. -- 
76,720.0,1.0831349206349206,3,23,64,1185,56,inside+wrap -- It may seem like this hint isn't useful. But i promise at least 5 times it is. -- In the beginning was one of these letters: frog -- These words are all: nouns. -- 
77,716.0,1.0063685208596713,2,66,155,1083,36,inside+wrap -- OMG, ends with a letter from: wedding -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
78,711.0,0.7869446710672698,2,56,93,1145,56,inside+wrap -- No more no less than the best which is 4. -- These words are all: verbs. -- 
79,706.5,0.9443740399385561,2,40,102,1143,42,inside+wrap -- Exactamundo 5 -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
80,703.5,0.5196428571428572,1,133,356,830,48,inside+wrap -- OMG,these are: nouns -- 
81,703.0,1.0129761904761905,2,58,154,1066,56,inside+wrap -- In the beginning was one of these letters: lisa -- These words are all: nouns. -- 
82,702.5,1.2945204286430274,3,16,25,1196,48,inside+wrap -- Exactamundo 4 -- Ends with a letter from vowels -- These words are all: verbs. -- 
83,701.5,0.19072164948453607,1,58,290,967,36,inside+wrap -- No more no less than the best which is 4. -- 
84,700.0,0.625,2,11,45,1216,48,inside+wrap -- Your words my be not longer than dis many fingers: 4. -- What's in dem words. Is it: ee. Yeah it is. -- 
85,697.5,0.4393939393939394,1,118,490,731,56,inside -- Ends with a letter from consonants -- 
86,691.5,0.0,1,95,359,841,28,inside+wrap -- You don't need a sweater but you do need words with at least 4 letters. -- 
87,691.5,0.5962230215827338,2,36,56,1163,64,inside+wrap -- You don't need a sweater but you do need words with at least 3 letters. -- OMG,these are: verbs -- 
88,690.5,0.6666666666666666,1,39,163,1091,56,inside+wrap -- These words seem to start with... mike. -- 
89,684.5,0.49333333333333335,1,48,251,1014,64,inside -- The first part of the word is important. Is one of : lisa -- 
90,683.5,0.7480725330576733,2,23,114,1102,48,inside+wrap -- 4-5 letters. -- The first part of the word is important. Is one of : wedding -- 
91,683.0,0.8421815034991347,3,16,62,1120,64,inside+wrap -- No more no less than the best which is 4. -- All these words have something in common. I think i. sry typo -- The first part of the word is important. Is one of : consonants -- 
92,677.0,0.49333333333333335,1,87,368,811,48,inside+wrap -- In the beginning was one of these letters: lisa -- 
93,675.5,0.0,1,77,263,923,64,inside+wrap -- Your words my be not longer than dis many fingers: 3. -- 
94,673.5,0.0,1,126,558,607,56,inside -- Your words my be not longer than dis many fingers: 5. -- 
95,673.5,1.5744838911479513,3,11,21,1147,56,inside+wrap -- What's in dem words. Is it: s. Yeah it is. -- Ends with a letter from potato -- These words are all: verbs. -- 
96,670.0,1.0196428571428573,2,34,105,1073,36,inside+wrap -- Ends with a letter from minos -- These words are all: nouns. -- 
97,670.0,0.7949997799925197,2,60,99,1053,42,inside+wrap -- From 4-5 letters. -- OMG,these are: verbs -- 
98,663.5,0.5104895104895105,1,59,288,892,64,inside+wrap -- OMG, ends with a letter from: mike -- 
99,660.0,1.0301323676323677,2,65,143,984,42,inside+wrap -- These words seem to end with the letters... mike. -- These words are all: nouns. -- 
100,659.0,0.5075757575757576,1,59,337,834,56,inside+wrap -- Ends with a letter from vowels -- 
101,648.5,0.4921875,1,42,226,941,49,inside+wrap -- The first part of the word is important. Is one of : potato -- 
102,648.5,0.5655737704918032,1,29,202,978,56,inside+wrap -- Ends with a letter from lisa -- 
103,648.0,0.5921815034991347,2,61,237,870,49,inside+wrap -- No more no less than the best which is 4. -- In the beginning was one of these letters: consonants -- 
104,645.0,0.42473118279569894,1,44,202,956,21,inside+wrap -- Maka dem all the same siza: 5 -- 
105,642.5,0.0,1,116,406,707,48,inside -- You don't need a sweater but you do need words with at least 4 letters. -- 
106,636.5,0.5962230215827338,1,122,203,860,42,inside+wrap -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
107,636.5,0.7696428571428572,2,44,126,975,49,inside+wrap -- All these words have something in common. I think i. sry typo -- These words are all: nouns. -- 
108,635.5,0.0,1,101,351,731,36,inside+wrap -- Your words my be not longer than dis many fingers: 4. -- 
109,631.5,0.4642857142857143,1,38,217,920,64,inside+wrap -- Words need to represent with : e and i. -- 
110,630.5,0.5075757575757576,1,66,330,777,42,inside+wrap -- OMG, ends with a letter from: vowels -- 
111,630.0,0.5,2,19,59,1086,48,inside -- Your words my be not longer than dis many fingers: 4. -- All these words have something in common. I think t and e. sry typo -- 
112,620.0,0.9443740399385561,2,25,80,1007,64,inside+wrap -- No more no less than the best which is 5. -- OMG,these are: nouns -- 
113,619.5,0.5,1,48,251,884,48,inside -- Ends with a letter from potato -- 
114,618.0,1.0962230215827338,3,18,29,1021,49,inside+wrap -- Your words my be not longer than dis many fingers: 5. -- These words seem to end with the letters... potato. -- OMG,these are: verbs -- 
115,613.5,0.5962230215827338,1,102,171,898,64,inside -- OMG,these are: verbs -- 
116,613.0,1.2819116790447067,3,21,47,990,48,inside+wrap -- 4-5 many letters, so little time. -- In the beginning was one of these letters: frog -- These words are all: nouns. -- 
117,612.5,0.6907216494845361,2,12,79,1006,49,inside+wrap -- Maka dem all the same siza: 4 -- These words seem to end with the letters... minos. -- 
118,610.0,1.0129761904761905,3,42,105,937,64,inside -- You don't need a sweater but you do need words with at least 5 letters. -- These words seem to start with... lisa. -- These words are all: nouns. -- 
119,610.0,1.3584918434845832,3,15,26,1011,49,inside+wrap -- 4-5 many letters, so little time. -- In the beginning was one of these letters: frog -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
120,609.0,0.19072164948453607,1,65,282,815,56,inside -- Maka dem all the same siza: 4 -- 
121,605.5,0.5384615384615384,1,11,64,1048,28,inside+wrap -- What's in dem words. Is it: ee and e. Yeah it is. -- 
122,602.0,0.5104895104895105,1,52,251,813,48,inside+wrap -- Ends with a letter from mike -- 
123,599.5,1.0301323676323677,2,30,85,956,42,inside+wrap -- Ends with a letter from mike -- These words are all: nouns. -- 
124,597.0,0.5196428571428572,1,115,280,711,28,inside+wrap -- These words are all: nouns. -- 
125,596.0,0.0,1,113,468,555,49,inside -- You don't need a sweater but you do need words with at least 5 letters. -- 
126,593.5,0.7068506817426006,2,5,24,1030,48,inside+wrap -- No more no less than the best which is 4. -- All these words have something in common. I think i and s. sry typo -- 
127,592.0,0.5,1,31,203,894,42,inside -- Ends with a letter from potato -- 
128,591.5,1.081734360410831,2,23,84,948,42,inside+wrap -- The first part of the word is important. Is one of : vowels -- These words are all: nouns. -- 
129,589.5,1.0196428571428573,2,36,81,934,24,inside+wrap -- Ends with a letter from potato -- These words are all: nouns. -- 
130,587.0,0.19877675840978593,1,83,369,666,56,inside -- 4-5 many letters, so little time. -- 
131,581.5,0.0,1,96,367,612,24,inside+wrap -- Your words my be not longer than dis many fingers: 4. -- 
132,577.0,0.5,2,33,123,902,56,inside -- It may seem like this hint isn't useful. But i promise at least 5 times it is. -- All these words have something in common. I think t and e. sry typo -- 
133,574.0,0.5,2,21,61,938,48,inside+wrap -- You don't need a sweater but you do need words with at least 3 letters. -- These words seem to end with the letters... potato. -- 
134,573.5,1.1583145248507076,2,16,25,978,56,inside+wrap -- These words seem to start with... vowels. -- These words are all: verbs. -- 
135,571.5,0.0,1,113,459,515,56,inside -- Your words my be not longer than dis many fingers: 5. -- 
136,570.5,0.5962230215827338,2,83,134,796,48,inside+wrap -- You don't need a sweater but you do need words with at least 5 letters. -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
137,566.0,0.5196428571428572,2,35,81,888,36,inside+wrap -- You don't need a sweater but you do need words with at least 3 letters. -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
138,565.0,0.7184196155526431,2,70,174,790,49,inside -- 4-5 many letters, so little time. -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
139,560.0,0.8273351648351649,3,56,116,812,49,inside -- Your words my be not longer than dis many fingers: 5. -- What's in dem words. Is it: t. Yeah it is. -- These words are all: nouns. -- 
140,556.5,0.5539568345323741,1,26,156,875,42,inside -- Ends with a letter from frog -- 
141,552.0,0.19072164948453607,1,56,234,726,24,inside+wrap -- Exactamundo 4 -- 
142,546.5,1.0301323676323677,2,20,46,899,28,inside+wrap -- In the beginning was one of these letters: minos -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
143,545.5,0.7949997799925197,2,47,81,867,56,inside -- From 4-5 letters. -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
144,543.0,1.2300883256528419,3,12,40,866,48,inside+wrap -- Maka dem all the same siza: 5 -- All these words have something in common. I think r. sry typo -- These words are all: nouns. -- 
145,541.0,0.5333333333333333,2,9,40,905,49,inside+wrap -- It may seem like this hint isn't useful. But i promise at least 5 times it is. -- What's in dem words. Is it: i and r. Yeah it is. -- 
146,537.0,0.0,1,98,427,493,48,inside -- Your words my be not longer than dis many fingers: 5. -- 
147,537.0,1.2103645066273931,3,9,24,873,42,inside+wrap -- Exactamundo 4 -- OMG, ends with a letter from: minos -- These words are all: nouns. -- 
148,535.0,0.5104895104895105,2,41,138,763,32,inside+wrap -- Your words my be not longer than dis many fingers: 5. -- These words seem to start with... minos. -- 
149,532.5,1.0209542043784328,2,26,45,866,48,inside+wrap -- Exactamundo 5 -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
150,532.0,0.19072164948453607,1,56,218,702,42,inside+wrap -- Maka dem all the same siza: 4 -- 
151,532.0,1.1501798561151078,2,14,24,898,49,inside+wrap -- These words seem to end with the letters... frog. -- These words are all: verbs. -- 
152,530.5,0.5104895104895105,2,9,53,903,56,inside -- Your words my be not longer than dis many fingers: 3. -- These words seem to end with the letters... mike. -- 
153,526.5,0.7949997799925197,2,56,94,775,24,inside+wrap -- From 4-5 letters. -- OMG,these are: verbs -- 
154,524.5,0.5161290322580645,1,24,162,775,36,inside+wrap -- All these words have something in common. I think i and s. sry typo -- 
155,523.0,0.19072164948453607,1,50,220,688,36,inside+wrap -- No more no less than the best which is 4. -- 
156,522.5,1.161796792074537,3,7,12,890,56,inside -- You don't need a sweater but you do need words with at least 5 letters. -- Ends with a letter from lisa -- These words are all: verbs. -- 
157,522.0,1.0829486852995478,3,21,33,854,56,inside -- It may seem like this hint isn't useful. But i promise at least 3 times it is. -- Ends with a letter from wedding -- These words are all: verbs. -- 
158,521.5,1.2628896882494005,2,13,22,880,64,inside+wrap -- These words seem to start with... mike. -- These words are all: verbs. -- 
159,520.5,0.0,1,100,351,502,80,inside+wrap -- You don't need a sweater but you do need words with at least 4 letters. -- 
160,517.0,1.1597150850747973,2,21,36,881,64,inside -- In the beginning was one of these letters: frog -- These words are all: verbs. -- 
161,514.5,0.5,1,44,209,688,48,inside+wrap -- OMG, ends with a letter from: potato -- 
162,512.5,0.5196428571428572,2,70,156,671,24,inside+wrap -- Your words my be not longer than dis many fingers: 4. -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
163,512.5,0.4921875,1,40,211,686,28,inside+wrap -- In the beginning was one of these letters: potato -- 
164,510.5,0.5196428571428572,2,85,190,650,49,inside -- Your words my be not longer than dis many fingers: 4. -- OMG,these are: nouns -- 
165,510.0,0.5962230215827338,2,71,114,707,49,inside+wrap -- It may seem like this hint isn't useful. But i promise at least 4 times it is. -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
166,507.0,0.6333333333333333,1,13,83,862,64,inside -- What's in dem words. Is it: s and i. Yeah it is. -- 
167,506.5,0.875,1,7,57,893,56,inside -- All these words have something in common. I think el and e. sry typo -- 
168,506.0,0.5196428571428572,1,93,248,615,56,inside -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
169,505.0,0.44015606875461355,2,34,147,701,48,inside+wrap -- 4-5 many letters, so little time. -- What's in dem words. Is it: e. Yeah it is. -- 
170,503.0,1.161796792074537,2,9,17,852,32,inside+wrap -- Ends with a letter from lisa -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
171,502.5,1.1497584460213326,3,38,81,750,49,inside -- No more no less than the best which is 4. -- These words seem to end with the letters... consonants. -- OMG,these are: nouns -- 
172,502.5,0.6829091494845361,2,11,64,802,78,inside+wrap -- Exactamundo 4 -- The first part of the word is important. Is one of : potato -- 
173,501.5,1.0884105215827338,2,19,31,825,32,inside+wrap -- These words seem to start with... potato. -- These words are all: verbs. -- 
174,501.0,0.19877675840978593,1,63,285,566,77,inside+wrap -- 4-5 many letters, so little time. -- 
175,496.0,0.8376023319275614,3,27,45,752,24,inside+wrap -- It may seem like this hint isn't useful. But i promise at least 4 times it is. -- Words need to represent with : e. -- These words are all: verbs. -- 
176,494.0,0.5104895104895105,1,29,148,723,36,inside+wrap -- These words seem to start with... minos. -- 
177,493.5,0.4393939393939394,1,82,324,493,24,inside+wrap -- OMG, ends with a letter from: consonants -- 
178,491.5,0.40145985401459855,1,89,372,466,49,inside -- The first part of the word is important. Is one of : consonants -- 
179,490.5,0.4921875,1,40,200,685,42,inside -- In the beginning was one of these letters: potato -- 
180,489.0,0.9443740399385561,2,22,67,761,32,inside+wrap -- Maka dem all the same siza: 5 -- OMG,these are: nouns -- 
181,488.5,0.19072164948453607,1,42,182,665,24,inside+wrap -- Maka dem all the same siza: 4 -- 
182,487.0,0.5196428571428572,2,52,107,687,28,inside+wrap -- It may seem like this hint isn't useful. But i promise at least 3 times it is. -- OMG,these are: nouns -- 
183,486.0,0.6666666666666666,2,7,35,834,64,inside -- You don't need a sweater but you do need words with at least 4 letters. -- The first part of the word is important. Is one of : mike -- 
184,485.5,1.4595642496189942,3,7,21,807,49,inside -- What's in dem words. Is it: ee and e. Yeah it is. -- These words seem to start with... consonants. -- OMG,these are: nouns -- 
185,483.0,1.30548929048203,3,11,21,766,48,inside+wrap -- 4-5 many letters, so little time. -- In the beginning was one of these letters: minos -- These words are all: verbs. -- 
186,479.5,0.5161290322580645,1,13,106,784,49,inside -- What's in dem words. Is it: i and s. Yeah it is. -- 
187,477.0,0.7103645066273933,2,48,112,666,28,inside+wrap -- Maka dem all the same siza: 4 -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
188,477.0,0.5539568345323741,1,17,102,747,49,inside+wrap -- Ends with a letter from frog -- 
189,476.5,0.5104895104895105,1,41,182,674,48,inside -- These words seem to end with the letters... mike. -- 
190,474.0,0.5962230215827338,1,92,149,651,49,inside -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
191,472.5,0.42473118279569894,1,28,169,692,42,inside -- No more no less than the best which is 5. -- 
192,472.0,0.5,2,5,41,802,56,inside -- Your words my be not longer than dis many fingers: 3. -- These words seem to end with the letters... potato. -- 
193,471.0,0.5104895104895105,2,21,93,700,42,inside+wrap -- Your words my be not longer than dis many fingers: 5. -- In the beginning was one of these letters: minos -- 
194,469.0,1.0356169609766732,2,57,91,694,49,inside -- Ends with a letter from consonants -- OMG,these are: verbs -- 
195,467.5,0.5075757575757576,2,36,198,605,42,inside -- It may seem like this hint isn't useful. But i promise at least 5 times it is. -- These words seem to end with the letters... vowels. -- 
196,465.0,0.5655737704918032,1,13,126,703,32,inside+wrap -- OMG, ends with a letter from: lisa -- 
197,465.0,0.9352206932852094,2,12,58,732,36,inside+wrap -- Exactamundo 5 -- In the beginning was one of these letters: minos -- 
198,459.0,0.0,1,97,366,399,48,inside -- Your words my be not longer than dis many fingers: 5. -- 
199,459.0,0.5620915032679739,2,14,67,741,56,inside -- Your words my be not longer than dis many fingers: 4. -- These words seem to start with... vowels. -- 
200,457.5,0.5104895104895105,1,34,166,659,48,inside -- These words seem to start with... minos. -- 
201,453.5,0.5,1,31,161,659,64,inside -- These words seem to end with the letters... minos. -- 
202,452.5,0.0,1,75,334,408,60,inside+wrap -- You don't need a sweater but you do need words with at least 5 letters. -- 
203,450.0,0.4642857142857143,1,32,189,591,18,inside+wrap -- All these words have something in common. I think e and i. sry typo -- 
204,448.0,0.9976828755973324,2,68,112,588,24,inside+wrap -- The first part of the word is important. Is one of : consonants -- OMG,these are: verbs -- 
205,448.0,1.0301323676323677,2,36,90,642,48,inside+wrap -- These words seem to end with the letters... mike. -- OMG,these are: nouns -- 
206,447.5,1.0301323676323677,2,38,88,673,36,inside -- These words seem to end with the letters... mike. -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
207,447.5,0.5196428571428572,1,83,211,513,28,inside+wrap -- OMG,these are: nouns -- 
208,447.0,0.5196428571428572,2,84,198,484,60,inside+wrap -- It may seem like this hint isn't useful. But i promise at least 5 times it is. -- OMG,these are: nouns -- 
209,446.0,0.5196428571428572,1,90,213,501,60,inside+wrap -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
210,445.5,0.5075757575757576,1,45,209,549,78,inside+wrap -- OMG, ends with a letter from: vowels -- 
211,444.5,0.9976828755973324,3,52,89,580,48,inside+wrap -- Your words my be not longer than dis many fingers: 5. -- In the beginning was one of these letters: consonants -- OMG,these are: verbs -- 
212,443.0,0.8053571428571429,3,38,98,582,28,inside+wrap -- Your words my be not longer than dis many fingers: 5. -- Words need to represent with : r. -- These words are all: nouns. -- 
213,441.5,0.5962230215827338,1,61,102,664,64,inside -- OMG,these are: verbs -- 
214,439.0,0.5196428571428572,2,71,175,504,16,inside+wrap -- It may seem like this hint isn't useful. But i promise at least 5 times it is. -- OMG,these are: nouns -- 
215,438.5,0.4393939393939394,2,27,91,631,21,inside+wrap -- You don't need a sweater but you do need words with at least 3 letters. -- Ends with a letter from consonants -- 
216,437.5,0.5962230215827338,2,73,120,554,21,inside+wrap -- It may seem like this hint isn't useful. But i promise at least 5 times it is. -- OMG,these are: verbs -- 
217,436.5,0.7869446710672698,2,30,49,666,49,inside+wrap -- No more no less than the best which is 4. -- OMG,these are: verbs -- 
218,435.0,0.6666666666666666,2,15,65,662,42,inside+wrap -- Your words my be not longer than dis many fingers: 4. -- These words seem to start with... mike. -- 
219,433.0,1.1037987791584913,2,19,34,685,24,inside+wrap -- Ends with a letter from vowels -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
220,429.5,0.5962230215827338,1,69,112,622,49,inside -- OMG,these are: verbs -- 
