id, difficulty,uniqueness,rules,goal words,valid words,total words, cells, hint
30,330.0,0.569811320754717,1,110,179,1004,56,all-ways! -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
31,326.79999999999995,0.44680851063829785,1,96,560,1446,48,all-ways! -- OMG, ends with a letter from: vowels -- 
32,326.7,0.6834967044110191,2,41,185,1273,48,all-ways! -- 4-5 letters. -- The first part of the word is important. Is one of : wedding -- 
33,324.7,1.1111703582171177,3,19,31,1130,48,all-ways! -- You don't need a sweater but you do need words with at least 3 letters. -- OMG, ends with a letter from: wedding -- OMG,these are: verbs -- 
34,323.9,0.5019157088122606,1,171,420,959,64,insidezies -- OMG,these are: nouns -- 
35,323.8,1.2764153637466982,3,10,27,1171,56,all-ways! -- Maka dem all the same siza: 4 -- These words seem to start with... frog. -- These words are all: nouns. -- 
36,323.3,0.7378441076399629,2,57,98,1081,32,all-ways! -- 4-5 many letters, so little time. -- These words are all: verbs. -- 
37,320.9,0.44680851063829785,1,85,619,1536,48,all-ways! -- End of the the letters words. Specifically: vowels -- 
38,320.79999999999995,0.5775862068965517,1,46,226,1357,64,all-ways! -- These words seem to end with the letters... frog. -- 
39,319.7,0.7410664947504144,2,11,101,1319,42,all-ways! -- 4-5 many letters, so little time. -- End of the the letters words. Specifically: lisa -- 
40,319.7,0.569811320754717,1,115,194,940,49,all-ways! -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
41,316.2,0.9736138220198077,2,56,153,1106,24,all-ways! -- These words seem to start with... lisa. -- These words are all: nouns. -- 
42,315.0,0.5019157088122606,1,158,367,853,36,all-ways! -- These words are all: nouns. -- 
43,312.5,0.569811320754717,2,85,138,913,36,all-ways! -- Your words my be not longer than dis many fingers: 4. -- OMG,these are: verbs -- 
44,303.7,1.093752443506138,2,31,106,1134,56,all-ways! -- The first part of the word is important. Is one of : vowels -- OMG,these are: nouns -- 
45,300.1,0.6226415094339622,1,69,330,1231,28,all-ways! -- In the beginning was one of these letters: minos -- 
46,294.5,1.215463917525773,2,5,31,1156,48,all-ways! -- All these words have something in common. I think r and e. sry typo -- These words seem to start with... wedding. -- 
47,292.8,1.067572274468826,2,36,92,1038,32,all-ways! -- These words seem to start with... mike. -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
48,292.3,1.145898277276456,2,17,29,1077,64,all-ways! -- These words seem to start with... frog. -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
49,291.7,1.0173796263380337,2,51,127,985,49,all-ways! -- In the beginning was one of these letters: wedding -- These words are all: nouns. -- 
50,289.4,0.569811320754717,1,102,164,910,64,insidezies -- These words are all: verbs. -- 
51,289.4,0.46938775510204084,2,60,288,1085,42,all-ways! -- You don't need a sweater but you do need words with at least 5 letters. -- In the beginning was one of these letters: potato -- 
52,288.4,1.0780026653339996,2,34,78,1013,36,all-ways! -- In the beginning was one of these letters: frog -- These words are all: nouns. -- 
53,287.7,0.5019157088122606,1,121,308,861,32,all-ways! -- These words are all: nouns. -- 
54,287.1,2.018622334521926,4,5,10,898,36,all-ways! -- Exactamundo 5 -- Words need to represent with : r and e. -- These words seem to start with... consonants. -- These words are all: verbs. -- 
55,284.3,1.1473975276512687,3,7,14,977,42,all-ways! -- It may seem like this hint isn't useful. But i promise at least 5 times it is. -- These words seem to end with the letters... frog. -- These words are all: verbs. -- 
56,283.29999999999995,0.8900862068965517,3,11,51,987,49,all-ways! -- Your words my be not longer than dis many fingers: 5. -- What's in dem words. Is it: e. Yeah it is. -- End of the the letters words. Specifically: frog -- 
57,281.6,0.9129485756566778,2,66,107,832,32,all-ways! -- End of the the letters words. Specifically: consonants -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
58,280.1,1.1765188834154352,3,9,22,953,48,all-ways! -- Maka dem all the same siza: 4 -- Words need to represent with : e and t. -- OMG,these are: nouns -- 
59,279.8,0.5019157088122606,1,130,345,809,49,all-ways! -- OMG,these are: nouns -- 
60,279.7,0.53125,2,27,139,1069,36,all-ways! -- You don't need a sweater but you do need words with at least 5 letters. -- These words seem to end with the letters... potato. -- 
61,278.9,0.7902494331065759,2,11,71,1085,56,all-ways! -- Exactamundo 4 -- The first part of the word is important. Is one of : vowels -- 
62,277.7,1.4556627814117922,3,5,11,952,48,all-ways! -- From 4-5 letters. -- All these words have something in common. I think el. sry typo -- These words are all: nouns. -- 
63,274.5,0.3431372549019608,2,125,402,767,42,all-ways! -- Your words my be not longer than dis many fingers: 5. -- These words seem to end with the letters... consonants. -- 
64,272.2,1.0391990758567577,2,18,30,972,56,all-ways! -- These words seem to start with... potato. -- OMG,these are: verbs -- 
65,271.3,1.0432747462746614,3,29,59,836,48,all-ways! -- You don't need a sweater but you do need words with at least 3 letters. -- These words seem to end with the letters... wedding. -- OMG,these are: nouns -- 
66,270.9,1.0391990758567577,2,23,39,947,24,all-ways! -- In the beginning was one of these letters: potato -- OMG,these are: verbs -- 
67,270.0,0.5734345091605141,2,40,66,876,48,all-ways! -- Your words my be not longer than dis many fingers: 3. -- These words are all: verbs. -- 
68,269.9,0.5019157088122606,1,125,323,845,56,insidezies -- These words are all: nouns. -- 
69,269.9,0.9056737588652481,2,7,44,1035,49,all-ways! -- All these words have something in common. I think r and s. sry typo -- These words seem to start with... consonants. -- 
70,269.4,1.145898277276456,2,32,56,907,49,all-ways! -- The first part of the word is important. Is one of : frog -- These words are all: verbs. -- 
71,266.40000000000003,0.9487242194505584,2,46,142,901,49,all-ways! -- OMG, ends with a letter from: vowels -- These words are all: nouns. -- 
72,265.2,1.2376117742694563,3,6,10,883,48,all-ways! -- No more no less than the best which is 4. -- These words seem to start with... potato. -- These words are all: verbs. -- 
73,258.0,0.5019157088122606,2,82,215,734,42,all-ways! -- It may seem like this hint isn't useful. But i promise at least 5 times it is. -- OMG,these are: nouns -- 
74,256.0,0.0,1,124,515,893,49,all-ways! -- It may seem like this hint isn't useful. But i promise at least 4 times it is. -- 
75,255.89999999999998,0.8764705882352941,2,7,61,982,64,all-ways! -- Exactamundo 5 -- End of the the letters words. Specifically: minos -- 
76,254.5,0.7680327868852459,2,7,26,940,36,all-ways! -- 4-5 letters. -- What's in dem words. Is it: t and r. Yeah it is. -- 
77,252.2,0.5019157088122606,1,124,293,732,56,insidezies -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
78,251.7,0.9713034639143014,2,31,87,935,56,insidezies -- In the beginning was one of these letters: potato -- OMG,these are: nouns -- 
79,251.7,1.0749494166774292,3,21,60,783,28,all-ways! -- It may seem like this hint isn't useful. But i promise at least 5 times it is. -- End of the the letters words. Specifically: lisa -- OMG,these are: nouns -- 
80,251.2,0.9487242194505584,3,48,135,787,64,insidezies -- You don't need a sweater but you do need words with at least 5 letters. -- End of the the letters words. Specifically: vowels -- OMG,these are: nouns -- 
81,248.9,0.7818877551020409,2,11,60,924,56,all-ways! -- What's in dem words. Is it: e. Yeah it is. -- In the beginning was one of these letters: potato -- 
82,247.1,0.569811320754717,1,75,127,730,28,all-ways! -- These words are all: verbs. -- 
83,246.20000000000002,0.8450529637142213,2,68,165,702,24,all-ways! -- These words seem to end with the letters... consonants. -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
84,245.8,0.3764705882352941,1,40,224,1013,48,all-ways! -- Maka dem all the same siza: 5 -- 
85,245.1,0.569811320754717,1,85,149,687,16,all-ways! -- OMG,these are: verbs -- 
86,244.7,0.53125,1,53,220,1012,64,insidezies -- OMG, ends with a letter from: potato -- 
87,241.7,0.5154639175257731,1,55,275,961,36,all-ways! -- These words seem to start with... wedding. -- 
88,240.7,0.8450529637142213,2,75,169,640,77,all-ways! -- These words seem to end with the letters... consonants. -- OMG,these are: nouns -- 
89,239.4,0.3764705882352941,1,44,251,1066,64,insidezies -- Maka dem all the same siza: 5 -- 
90,238.8,0.7333333333333333,1,24,110,952,64,all-ways! -- Words need to represent with : e and s. -- 
91,238.5,0.5,1,59,321,969,48,all-ways! -- These words seem to end with the letters... minos. -- 
92,236.1,0.9421517462866318,2,65,106,689,64,insidezies -- These words seem to start with... consonants. -- These words are all: verbs. -- 
93,234.7,1.1924528301886792,2,5,10,836,36,all-ways! -- In the beginning was one of these letters: minos -- OMG,these are: verbs -- 
94,233.8,0.5019157088122606,1,96,276,697,49,all-ways! -- OMG,these are: nouns -- 
95,233.5,1.1031446540880503,2,5,9,829,42,all-ways! -- Words need to represent with : r and s. -- OMG,these are: verbs -- 
96,232.6,0.6699484956975065,2,60,149,662,24,all-ways! -- From 4-5 letters. -- These words are all: nouns. -- 
97,232.5,0.6226415094339622,1,81,304,881,49,insidezies -- These words seem to start with... minos. -- 
98,232.1,0.569811320754717,2,67,113,585,48,all-ways! -- It may seem like this hint isn't useful. But i promise at least 5 times it is. -- OMG,these are: verbs -- 
99,231.4,0.5760869565217391,1,36,141,880,56,all-ways! -- In the beginning was one of these letters: frog -- 
100,230.9,0.5019157088122606,1,99,263,653,42,all-ways! -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
101,230.5,0.9736138220198077,2,31,77,739,32,all-ways! -- The first part of the word is important. Is one of : lisa -- OMG,these are: nouns -- 
102,228.9,0.569811320754717,2,65,106,573,12,all-ways! -- You don't need a sweater but you do need words with at least 5 letters. -- OMG,these are: verbs -- 
103,228.9,0.5019157088122606,2,85,215,572,32,all-ways! -- Your words my be not longer than dis many fingers: 5. -- These words are all: nouns. -- 
104,228.1,0.4716981132075472,1,73,330,849,49,all-ways! -- In the beginning was one of these letters: lisa -- 
105,227.60000000000002,0.748811013767209,2,28,132,796,56,all-ways! -- Maka dem all the same siza: 5 -- The first part of the word is important. Is one of : consonants -- 
106,227.39999999999998,0.9487242194505584,2,36,116,735,36,all-ways! -- End of the the letters words. Specifically: vowels -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
107,226.09999999999997,1.1113612740693761,3,19,33,719,56,insidezies -- Exactamundo 4 -- These words seem to end with the letters... consonants. -- These words are all: verbs. -- 
108,226.0,1.1404639175257731,2,6,23,800,32,all-ways! -- All these words have something in common. I think r and i. sry typo -- The first part of the word is important. Is one of : wedding -- 
109,226.0,0.625,1,28,139,895,48,all-ways! -- All these words have something in common. I think r and i. sry typo -- 
110,224.8,1.069811320754717,3,12,19,657,78,all-ways! -- It may seem like this hint isn't useful. But i promise at least 4 times it is. -- OMG, ends with a letter from: minos -- These words are all: verbs. -- 
111,224.6,0.5730337078651685,1,26,158,918,32,all-ways! -- OMG, ends with a letter from: lisa -- 
112,224.3,1.078572605083226,3,5,18,692,36,all-ways! -- Your words my be not longer than dis many fingers: 3. -- These words seem to end with the letters... lisa. -- OMG,these are: nouns -- 
113,223.70000000000002,1.1924528301886792,2,19,32,806,36,insidezies -- These words seem to start with... minos. -- These words are all: verbs. -- 
114,223.7,1.0802279874213836,2,31,51,679,18,all-ways! -- These words seem to end with the letters... mike. -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
115,222.10000000000002,0.0036231884057971015,1,57,214,791,48,all-ways! -- It may seem like this hint isn't useful. But i promise at least 3 times it is. -- 
116,222.0,0.3467604433077579,2,38,106,687,21,all-ways! -- Your words my be not longer than dis many fingers: 3. -- These words seem to end with the letters... consonants. -- 
117,221.7,1.2836879366931884,3,5,9,750,49,insidezies -- Maka dem all the same siza: 4 -- The first part of the word is important. Is one of : wedding -- OMG,these are: verbs -- 
118,220.5,0.45043169904409497,2,15,68,848,64,insidezies -- Your words my be not longer than dis many fingers: 3. -- These words seem to end with the letters... vowels. -- 
119,220.29999999999998,0.5019157088122606,1,97,232,580,24,all-ways! -- OMG,these are: nouns -- 
120,220.20000000000002,0.8742561343441755,2,68,162,569,16,all-ways! -- These words seem to start with... consonants. -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
121,220.1,0.7378441076399629,2,43,73,697,64,insidezies -- From 4-5 letters. -- OMG,these are: verbs -- 
122,219.50000000000003,0.0,1,151,624,751,56,insidezies -- It may seem like this hint isn't useful. But i promise at least 5 times it is. -- 
123,218.9,0.3764705882352941,1,31,211,915,48,all-ways! -- No more no less than the best which is 5. -- 
124,218.29999999999998,0.5,1,77,406,854,24,all-ways! -- What's in dem words. Is it: r. Yeah it is. -- 
125,218.2,0.5104166666666666,1,58,214,846,48,insidezies -- OMG, ends with a letter from: mike -- 
126,217.0,0.5734345091605141,2,36,56,703,49,insidezies -- You don't need a sweater but you do need words with at least 3 letters. -- These words are all: verbs. -- 
127,217.0,0.1984126984126984,1,60,256,791,48,all-ways! -- No more no less than the best which is 4. -- 
128,216.8,1.1924528301886792,2,24,42,674,48,all-ways! -- In the beginning was one of these letters: minos -- OMG,these are: verbs -- 
129,214.0,0.0,1,102,430,799,64,insidezies -- It may seem like this hint isn't useful. But i promise at least 4 times it is. -- 
130,211.70000000000002,0.46938775510204084,1,29,185,864,42,all-ways! -- The first part of the word is important. Is one of : potato -- 
131,211.7,1.069811320754717,3,5,12,623,24,all-ways! -- Your words my be not longer than dis many fingers: 5. -- OMG, ends with a letter from: minos -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
132,211.0,0.46938775510204084,1,44,196,789,36,all-ways! -- The first part of the word is important. Is one of : potato -- 
133,208.5,0.5019157088122606,1,93,222,533,18,all-ways! -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
134,207.9,0.7777777777777778,2,5,38,810,56,insidezies -- Your words my be not longer than dis many fingers: 5. -- Words need to represent with : i and s. -- 
135,207.5,0.5019157088122606,2,75,198,503,48,all-ways! -- It may seem like this hint isn't useful. But i promise at least 5 times it is. -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
136,207.0,1.067572274468826,2,10,32,692,56,all-ways! -- In the beginning was one of these letters: mike -- OMG,these are: nouns -- 
137,206.6,0.7378441076399629,2,46,73,613,56,insidezies -- From 4-5 letters. -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
138,206.29999999999998,0.6666666666666666,1,11,75,826,32,all-ways! -- What's in dem words. Is it: ee and e. Yeah it is. -- 
139,206.1,0.5019157088122606,2,77,180,547,48,insidezies -- Your words my be not longer than dis many fingers: 4. -- OMG,these are: nouns -- 
140,206.0,0.5019157088122606,1,96,213,495,36,all-ways! -- OMG,these are: nouns -- 
141,205.0,0.5019157088122606,1,92,215,594,49,insidezies -- These words are all: nouns. -- 
142,204.60000000000002,0.4716981132075472,2,32,155,762,64,insidezies -- It may seem like this hint isn't useful. But i promise at least 5 times it is. -- The first part of the word is important. Is one of : lisa -- 
143,203.5,1.0802279874213836,2,23,41,692,42,insidezies -- These words seem to end with the letters... mike. -- These words are all: verbs. -- 
144,203.10000000000002,1.1113612740693761,3,21,34,514,60,all-ways! -- Maka dem all the same siza: 4 -- OMG, ends with a letter from: consonants -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
145,201.9,0.5019157088122606,1,103,226,529,48,insidezies -- These words are all: nouns. -- 
146,201.3,0.53125,2,21,133,704,49,all-ways! -- It may seem like this hint isn't useful. But i promise at least 5 times it is. -- OMG, ends with a letter from: potato -- 
147,201.2,0.9165717640624749,3,16,26,524,21,all-ways! -- It may seem like this hint isn't useful. But i promise at least 3 times it is. -- OMG, ends with a letter from: consonants -- OMG,these are: verbs -- 
148,200.4,0.569811320754717,2,62,101,522,42,insidezies -- Your words my be not longer than dis many fingers: 5. -- These words are all: verbs. -- 
149,200.2,0.5775862068965517,1,12,70,785,24,all-ways! -- These words seem to end with the letters... frog. -- 
150,199.9,1.069811320754717,2,15,25,622,36,all-ways! -- OMG, ends with a letter from: minos -- These words are all: verbs. -- 
151,198.4,0.5760869565217391,2,10,47,664,49,all-ways! -- You don't need a sweater but you do need words with at least 5 letters. -- These words seem to start with... frog. -- 
152,197.9,1.1473975276512687,2,9,19,639,28,all-ways! -- End of the the letters words. Specifically: frog -- OMG,these are: verbs -- 
153,197.0,0.3723404255319149,1,108,507,678,24,all-ways! -- In the beginning was one of these letters: consonants -- 
154,196.2,0.882311320754717,2,36,60,523,32,all-ways! -- What's in dem words. Is it: e. Yeah it is. -- These words are all: verbs. -- 
155,196.1,0.1984126984126984,1,53,250,799,49,insidezies -- Maka dem all the same siza: 4 -- 
156,196.1,0.1984126984126984,1,47,228,730,24,all-ways! -- Maka dem all the same siza: 4 -- 
157,195.7,1.231578407224959,3,5,20,631,64,insidezies -- No more no less than the best which is 4. -- End of the the letters words. Specifically: potato -- These words are all: nouns. -- 
158,195.6,0.7336893525418116,2,16,73,723,56,insidezies -- From 4-5 letters. -- These words seem to start with... mike. -- 
159,194.5,0.5019157088122606,1,89,219,482,24,all-ways! -- These words are all: nouns. -- 
160,194.5,0.7441197434069851,2,13,78,659,42,all-ways! -- 4-5 many letters, so little time. -- These words seem to start with... frog. -- 
161,194.0,0.569811320754717,1,58,91,522,36,all-ways! -- OMG,these are: verbs -- 
162,192.79999999999998,0.5019157088122606,1,82,196,489,18,all-ways! -- These words are all: nouns. -- 
163,192.5,0.1680327868852459,1,85,372,727,48,insidezies -- 4-5 letters. -- 
164,192.10000000000002,0.0,1,133,563,652,64,insidezies -- You don't need a sweater but you do need words with at least 5 letters. -- 
165,191.4,0.9421517462866318,2,50,83,525,36,insidezies -- The first part of the word is important. Is one of : consonants -- OMG,these are: verbs -- 
166,191.2,0.5760869565217391,1,26,105,778,48,insidezies -- The first part of the word is important. Is one of : frog -- 
167,190.9,0.8742561343441755,3,53,110,353,77,all-ways! -- You don't need a sweater but you do need words with at least 4 letters. -- In the beginning was one of these letters: consonants -- OMG,these are: nouns -- 
168,190.2,0.0036231884057971015,1,48,156,623,42,all-ways! -- You don't need a sweater but you do need words with at least 3 letters. -- 
169,189.9,1.745898277276456,3,5,10,512,21,all-ways! -- All these words have something in common. I think t and r. sry typo -- These words seem to start with... frog. -- These words are all: verbs. -- 
170,189.3,1.0838511758271807,3,5,8,507,16,all-ways! -- Your words my be not longer than dis many fingers: 3. -- These words seem to end with the letters... mike. -- These words are all: verbs. -- 
171,188.1,1.0802279874213836,3,13,22,551,42,insidezies -- Your words my be not longer than dis many fingers: 4. -- End of the the letters words. Specifically: mike -- OMG,these are: verbs -- 
172,185.5,1.1245572182462227,2,15,34,559,24,all-ways! -- The first part of the word is important. Is one of : minos -- These words are all: nouns. -- 
173,185.10000000000002,0.5019157088122606,1,81,204,464,48,all-ways! -- These words are all: nouns. -- 
174,185.0,1.3298796263380337,4,8,20,461,48,insidezies -- It may seem like this hint isn't useful. But i promise at least 5 times it is. -- Words need to represent with : e. -- The first part of the word is important. Is one of : wedding -- OMG,these are: nouns -- 
175,184.7,1.0422889212294213,3,41,83,441,49,insidezies -- 4-5 many letters, so little time. -- The first part of the word is important. Is one of : consonants -- OMG,these are: nouns -- 
176,184.3,0.569811320754717,1,61,98,464,77,all-ways! -- OMG,these are: verbs -- 
177,184.1,1.1075471698113208,2,31,51,481,16,all-ways! -- OMG, ends with a letter from: wedding -- These words are all: verbs. -- 
178,182.7,0.569811320754717,1,65,112,448,80,all-ways! -- These words are all: verbs. -- 
179,182.5,0.7003284072249589,2,35,70,470,32,all-ways! -- Maka dem all the same siza: 4 -- OMG,these are: nouns -- 
180,182.39999999999998,0.569811320754717,1,56,93,477,32,all-ways! -- OMG,these are: verbs -- 
181,182.2,0.5190871059315703,2,16,58,561,24,all-ways! -- Your words my be not longer than dis many fingers: 3. -- These words seem to start with... wedding. -- 
182,182.0,0.8742561343441755,2,48,127,453,28,all-ways! -- In the beginning was one of these letters: consonants -- OMG,these are: nouns -- 
183,181.6,0.569811320754717,1,62,98,445,21,all-ways! -- These words are all: verbs. -- 
184,180.60000000000002,0.8783862970475547,2,22,55,517,16,all-ways! -- Exactamundo 5 -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
185,180.3,0.53125,1,31,148,659,80,all-ways! -- These words seem to end with the letters... potato. -- 
186,179.4,0.7682240191674153,2,22,34,490,24,all-ways! -- Exactamundo 4 -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
187,179.2,1.1846526182782608,3,14,27,506,48,insidezies -- 4-5 letters. -- End of the the letters words. Specifically: vowels -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
188,179.10000000000002,0.45043169904409497,2,19,80,631,49,insidezies -- You don't need a sweater but you do need words with at least 3 letters. -- These words seem to end with the letters... vowels. -- 
189,178.7,0.7682240191674153,2,21,39,577,49,insidezies -- Exactamundo 4 -- These words are all: verbs. -- 
190,176.0,1.145898277276456,2,12,21,595,49,insidezies -- The first part of the word is important. Is one of : frog -- These words are all: verbs. -- 
191,175.5,0.3431372549019608,2,51,182,459,48,all-ways! -- It may seem like this hint isn't useful. But i promise at least 4 times it is. -- End of the the letters words. Specifically: consonants -- 
192,175.10000000000002,1.0415094339622641,3,9,14,420,24,all-ways! -- Your words my be not longer than dis many fingers: 4. -- The first part of the word is important. Is one of : lisa -- OMG,these are: verbs -- 
193,175.0,0.9487242194505584,2,28,75,476,78,all-ways! -- OMG, ends with a letter from: vowels -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
194,174.39999999999998,1.007311320754717,3,8,13,501,48,insidezies -- It may seem like this hint isn't useful. But i promise at least 5 times it is. -- Words need to represent with : i and r. -- These words are all: verbs. -- 
195,174.39999999999998,1.0415094339622641,3,22,36,447,42,insidezies -- It may seem like this hint isn't useful. But i promise at least 5 times it is. -- The first part of the word is important. Is one of : lisa -- OMG,these are: verbs -- 
196,172.89999999999998,0.9421517462866318,2,41,68,387,84,all-ways! -- In the beginning was one of these letters: consonants -- These words are all: verbs. -- 
197,172.7,0.3076923076923077,1,73,376,618,28,all-ways! -- What's in dem words. Is it: i. Yeah it is. -- 
198,172.2,0.5734345091605141,2,12,20,495,28,all-ways! -- You don't need a sweater but you do need words with at least 3 letters. -- These words are all: verbs. -- 
199,171.10000000000002,0.5734345091605141,2,23,36,525,48,insidezies -- Your words my be not longer than dis many fingers: 3. -- These words are all: verbs. -- 
200,171.1,1.0434656621269198,3,19,41,372,18,all-ways! -- Exactamundo 4 -- These words seem to end with the letters... consonants. -- OMG,these are: nouns -- 
201,170.3,0.8383838383838383,3,5,32,436,32,all-ways! -- You don't need a sweater but you do need words with at least 5 letters. -- Words need to represent with : e and r. -- These words seem to start with... mike. -- 
202,170.1,1.0173796263380337,3,23,61,445,48,insidezies -- Your words my be not longer than dis many fingers: 5. -- The first part of the word is important. Is one of : wedding -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
203,170.0,0.569811320754717,1,60,94,474,56,insidezies -- OMG,these are: verbs -- 
204,169.7,0.47619047619047616,1,15,46,672,49,insidezies -- What's in dem words. Is it: e and t. Yeah it is. -- 
205,168.5,1.0802279874213836,3,13,22,373,24,all-ways! -- You don't need a sweater but you do need words with at least 5 letters. -- These words seem to end with the letters... mike. -- OMG,these are: verbs -- 
206,168.3,1.0973756319119352,3,5,16,410,60,all-ways! -- Your words my be not longer than dis many fingers: 3. -- These words seem to start with... vowels. -- OMG,these are: nouns -- 
207,168.0,0.3125,1,52,282,696,48,insidezies -- What's in dem words. Is it: e. Yeah it is. -- 
208,167.9,0.8450529637142213,3,37,92,388,32,insidezies -- Your words my be not longer than dis many fingers: 5. -- These words seem to end with the letters... consonants. -- OMG,these are: nouns -- 
209,167.7,1.0780026653339996,2,19,40,534,49,insidezies -- The first part of the word is important. Is one of : frog -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
210,167.10000000000002,1.0173796263380337,2,7,20,577,49,insidezies -- These words seem to start with... wedding. -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
211,166.79999999999998,0.5019157088122606,2,62,176,429,32,insidezies -- It may seem like this hint isn't useful. But i promise at least 5 times it is. -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
212,165.9,0.5734345091605141,2,19,30,435,28,all-ways! -- You don't need a sweater but you do need words with at least 3 letters. -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
